experiment_id,text_w,voice_w,behaviour_w,structured_w,temporal_w,precision,recall,f1,roc_auc,pr_auc
search_98,0.4,0.0,0.2,0.4,0.0,0.10136217948717949,0.9166666666666666,0.18253968253968253,0.7630475877373224,0.3107437224553375
search_104,0.4,0.2,0.0,0.4,0.0,0.10146071851559416,0.9311594202898551,0.18298326806692775,0.7769170707651847,0.3092824419975563
search_94,0.4,0.0,0.0,0.4,0.19999999999999996,0.11277853569804457,0.8985507246376812,0.20040404040404042,0.7691764152580294,0.30845180154753854
search_40,0.0,0.4,0.0,0.6,0.0,0.15270164447924825,0.7065217391304348,0.2511268512556343,0.7713578623416709,0.29984576916542566
search_114,0.6,0.0,0.0,0.4,0.0,0.0984540276647681,0.8768115942028986,0.17702999268471104,0.7458425796553518,0.2930100523861685
search_1,0.0,0.0,0.0,0.0,1.0,0.2611036339165545,0.7028985507246377,0.380765456329735,0.8268146763102381,0.2855484369467899
search_84,0.2,0.4,0.0,0.4,0.0,0.11038961038961038,0.9239130434782609,0.19721577726218098,0.7748657571025452,0.284449354249835
baseline,0.25,0.15,0.15,0.25,0.2,0.10401246591351772,0.967391304347826,0.18782975729862822,0.7793639215363962,0.284296923486952
search_33,0.0,0.2,0.4,0.4,0.0,0.1388888888888889,0.8514492753623188,0.23882113821138212,0.7757258933545199,0.2842366773577694
search_63,0.2,0.0,0.2,0.2,0.3999999999999999,0.11889400921658987,0.9347826086956522,0.2109566639411284,0.7791795658566429,0.28374325292519675
search_97,0.4,0.0,0.2,0.2,0.19999999999999996,0.10053722179585571,0.9492753623188406,0.18181818181818182,0.7420647151219603,0.2735807075544147
search_119,0.6,0.2,0.0,0.2,0.0,0.09165186500888099,0.9347826086956522,0.1669362665803947,0.7535683953864277,0.2728249560081751
search_109,0.4,0.4,0.0,0.2,0.0,0.09210996072831132,0.9347826086956522,0.16769580760480987,0.7576824379240752,0.26448927921592386
